brand,quantity,revenue,avg_price,market_share,quantity_share
瑞幸咖啡,415,7096.000000000002,17.098795180722895,37.310843069416265,41.5
星巴克,149,3699.0,24.825503355704697,19.449381132154837,14.9
Nowwa 挪瓦咖啡,104,1846.6000000000004,17.755769230769236,9.709442335397982,10.4
Manner Coffee,94,1550.0,16.48936170212766,8.149916397631793,9.4
永璞咖啡,78,1287.0,16.5,6.767059615323946,7.8
M Stand,32,881.0,27.53125,4.632307320202329,3.2
Seesaw Coffee,32,767.0,23.96875,4.032894114182958,3.2
Tims 天好咖啡,39,618.0,15.846153846153847,3.2494505378944827,3.9
%ARABICA,19,566.0,29.789473684210527,2.976033987780384,1.9
皮爷咖啡,19,548.0,28.842105263157894,2.8813897973562725,1.9
蓝瓶咖啡,5,160.0,32.0,0.8412816926587657,0.5
,0,0.0,0.0,0.0,0.0
